ID,x,y,Especie,Subespecie,Nombre común,Total,Lugar,lat,lng,id
133,319229.0848,1103953.587,Alouatta palliata,,Mono Congo,1,"Costa Rica, Guanacaste, Nosara",9.979733,-85.648625,68870364
134,319229.0848,1103953.587,Alouatta palliata,,Mono Congo,1,"Costa Rica, Guanacaste, Nosara",9.979733,-85.648625,68870364
135,319195.5607,1104212.798,Cebus  imitator,,Mono Carablanca,1,"Nosara, Nicoya, Guanacaste, CR",9.982074,-85.648942,68843134
136,319216.2662,1104213.588,Alouatta palliata,,Mono Congo,1,"Nosara, Nicoya, Guanacaste, CR",9.982082,-85.648754,68779700
137,319209.1422,1104215.725,Alouatta palliata,,Mono Congo,1,"Nosara, Nicoya, Guanacaste, CR",9.982101,-85.648819,68779861
138,319191.2576,1104217.353,Alouatta palliata,,Mono Congo,1,"Nosara, Nicoya, Guanacaste, CR",9.982115,-85.648982,68843215
139,319213.3572,1104217.564,Alouatta palliata,,Mono Congo,1,"Nosara, Nicoya, Guanacaste, CR",9.982118,-85.64878,68779731
140,319205.5572,1104218.218,Alouatta palliata,,Mono Congo,1,"Nosara, Nicoya, Guanacaste, CR",9.982124,-85.648852,68779602
141,319194.5146,1104228.077,Alouatta palliata,,Mono Congo,1,"Nosara, Nicoya, Guanacaste, CR",9.982212,-85.648953,68843327
142,319215.0472,1104229.272,Alouatta palliata,,Mono Congo,1,"Nosara, Nicoya, Guanacaste, CR",9.982224,-85.648766,68733805
143,411883.8673,1104481.945,Alouatta palliata,,Mono Congo,1,"Provincia de Puntarenas, Pitahaya, Costa Rica",9.987617,-84.803716,68862455
144,318425.2921,1104859.213,Cebus  imitator,,Mono Carablanca,1,"Guanacaste Province, Nosara, Costa Rica",9.987882,-85.655995,68861619
145,318638.6069,1104887.045,Alouatta palliata,,Mono Congo,20,"Guanacaste Province, Nosara, Costa Rica",9.988143,-85.654051,68763880
146,318639.716,1104888.011,Cebus  imitator,,Mono Carablanca,1,"Guanacaste Province, Nosara, Costa Rica",9.988152,-85.654041,68764231
147,317171.3601,1105046.616,Alouatta palliata,,Mono Congo,1,"Guanacaste Province, Costa Rica",9.989519,-85.667436,68763413
148,431511.593,1105901.256,Alouatta palliata,,Mono Congo,11,"Provincia de Puntarenas, Macacona, Costa Rica",10.000833,-84.624722,68447766
149,432262.0333,1107483.537,Cebus  imitator,,Mono Carablanca,3,"Provincia de Puntarenas, Macacona, Costa Rica",10.015152,-84.617904,68514868
150,466588.839,1107836.437,Alouatta palliata,,Mono Congo,5,"Grecia, Alajuela, CR",10.018777,-84.304784,68641623
151,466595.2132,1107846.216,Alouatta palliata,,Mono Congo,4,"Grecia, Alajuela, CR",10.018866,-84.304725,68255474
152,467530.8756,1108085.316,Cebus  imitator,,Mono Carablanca,13,"Grecia, Alajuela, CR",10.021036,-84.296192,68929465
153,466596.0785,1108095.924,Alouatta palliata,,Mono Congo,3,"V?¡a 717, Grecia, Alajuela, CR",10.021124,-84.30472,67834562
154,429738.3398,1108737.779,Alouatta palliata,,Mono Congo,9,"Provincia de Puntarenas, Costa Rica",10.026448,-84.640947,69954552
155,432219.4683,1109176.702,Cebus  imitator,,Mono Carablanca,10,"Puntarenas Province, Macacona, Costa Rica",10.03046,-84.618322,68841920
